"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1237","Запрос возвращает ошибку, если отсутствует обязательное поле","tests","2026-04-20","passed","2026-04-20","TestCourierCreation","test_courier_creation","",""
"","671","Удаление курьера без ID возвращает ошибку","tests","2026-04-21","passed","2026-04-21","TestCourierDelete","test_courier_delete","",""
"","2622","Успешное получение заказа по track номеру","tests","2026-04-21","passed","2026-04-21","TestGetOrderByTrack","test_get_order_by_track","",""
"","887","Авторизация возвращает ошибку при неверном логине или пароле","tests","2026-04-21","passed","2026-04-21","TestCourierLogin","test_courier_login","",""
"","828","Запрос с несуществующим номером заказа возвращает ошибку","tests","2026-04-21","passed","2026-04-21","TestGetOrderByTrack","test_get_order_by_track","",""
"","728","Запрос возвращает ошибку, если отсутствует обязательное поле","tests","2026-04-21","passed","2026-04-21","TestCourierCreation","test_courier_creation","",""
"","1588","Создание заказа с разными вариантами цвета","tests","2026-04-21","passed","2026-04-21","TestCreateOrder","test_create_order","",""
"","1395","Принятие заказа без ID курьера возвращает ошибку","tests","2026-04-21","passed","2026-04-21","TestAcceptOrder","test_accept_order","",""
"","969","Нельзя создать курьера с уже существующим логином","tests","2026-04-21","passed","2026-04-21","TestCourierCreation","test_courier_creation","",""
"","2406","Успешное удаление курьера","tests","2026-04-21","passed","2026-04-21","TestCourierDelete","test_courier_delete","",""
"","1007","Авторизация возвращает ошибку, если отсутствует поле","tests","2026-04-21","passed","2026-04-21","TestCourierLogin","test_courier_login","",""
"","817","Запрос возвращает ошибку, если отсутствует обязательное поле","tests","2026-04-21","passed","2026-04-21","TestCourierCreation","test_courier_creation","",""
"","61116","Авторизация возвращает ошибку, если отсутствует поле","tests","2026-04-21","skipped","2026-04-21","TestCourierLogin","test_courier_login","",""
"","873","Запрос без номера заказа возвращает ошибку","tests","2026-04-21","passed","2026-04-21","TestGetOrderByTrack","test_get_order_by_track","",""
"","2756","Авторизация возвращает ошибку при неверном логине или пароле","tests","2026-04-20","passed","2026-04-20","TestCourierLogin","test_courier_login","",""
"","547","Авторизация возвращает ошибку, если отсутствует поле","tests","2026-04-20","passed","2026-04-20","TestCourierLogin","test_courier_login","",""
"","1051","Авторизация несуществующего пользователя возвращает ошибку","tests","2026-04-21","passed","2026-04-21","TestCourierLogin","test_courier_login","",""
"","1612","Создание заказа с разными вариантами цвета","tests","2026-04-21","passed","2026-04-21","TestCreateOrder","test_create_order","",""
"","2262","Курьера можно создать","tests","2026-04-21","passed","2026-04-21","TestCourierCreation","test_courier_creation","",""
"","835","Запрос возвращает ошибку, если отсутствует обязательное поле","tests","2026-04-21","passed","2026-04-21","TestCourierCreation","test_courier_creation","",""
"","933","Курьер может авторизоваться","tests","2026-04-21","passed","2026-04-21","TestCourierLogin","test_courier_login","",""
"","1866","Принятие заказа с неверным ID заказа возвращает ошибку","tests","2026-04-21","passed","2026-04-21","TestAcceptOrder","test_accept_order","",""
"","980","Нельзя создать двух одинаковых курьеров","tests","2026-04-21","passed","2026-04-21","TestCourierCreation","test_courier_creation","",""
"","606","Авторизация возвращает ошибку при неверном логине или пароле","tests","2026-04-21","passed","2026-04-21","TestCourierLogin","test_courier_login","",""
"","14000","Получение списка заказов возвращает массив","tests","2026-04-21","passed","2026-04-21","TestOrdersList","test_orders_list","",""
"","2697","Успешное принятие заказа","tests","2026-04-21","passed","2026-04-21","TestAcceptOrder","test_accept_order","",""
"","2310","Принятие заказа без ID заказа возвращает ошибку","tests","2026-04-20","passed","2026-04-20","TestAcceptOrder","test_accept_order","",""
"","1535","Создание заказа с разными вариантами цвета","tests","2026-04-21","passed","2026-04-21","TestCreateOrder","test_create_order","",""
"","1171","Удаление курьера с несуществующим ID возвращает ошибку","tests","2026-04-21","passed","2026-04-21","TestCourierDelete","test_courier_delete","",""
"","1780","Принятие заказа с неверным ID курьера возвращает ошибку","tests","2026-04-21","passed","2026-04-21","TestAcceptOrder","test_accept_order","",""
"","1573","Создание заказа с разными вариантами цвета","tests","2026-04-21","passed","2026-04-21","TestCreateOrder","test_create_order","",""
"","4530","Авторизация возвращает ошибку при неверном логине или пароле","tests","2026-04-20","passed","2026-04-20","TestCourierLogin","test_courier_login","",""
"","844","Запрос возвращает ошибку, если отсутствует обязательное поле","tests","2026-04-20","passed","2026-04-20","TestCourierCreation","test_courier_creation","",""
"","646","Запрос возвращает ошибку, если отсутствует обязательное поле","tests","2026-04-20","passed","2026-04-20","TestCourierCreation","test_courier_creation","",""
"","60660","Авторизация возвращает ошибку, если отсутствует поле","tests","2026-04-20","skipped","2026-04-20","TestCourierLogin","test_courier_login","",""
